tahun,bulan,tpt
2011,februari,5.54
2011,agustus,4.39
2012,februari,3.98
2012,agustus,3.9
2013,februari,3.75
2013,agustus,3.24
2014,februari,2.16
2014,agustus,3.33
2015,februari,4.07
2015,agustus,4.07
2016,februari,2.81
2016,agustus,2.72
